ID Conta;Data;ID Cliente;Valor
101;01/01/2024;CLI-093;90,00
102;01/01/2024;CLI-063;30,00
102;01/01/2024;CLI-083;8,00
102;01/01/2024;CLI-027;15,00
102;01/01/2024;CLI-012;5,00
101;01/01/2024;CLI-059;90,00
102;01/01/2024;CLI-075;5,00
102;01/01/2024;CLI-042;30,00
101;01/01/2024;CLI-067;90,00
101;01/01/2024;CLI-113;90,00
102;01/01/2024;CLI-075;5,00
101;01/01/2024;CLI-009;90,00
102;01/01/2024;CLI-115;15,00
101;02/01/2024;CLI-079;90,00
101;02/01/2024;CLI-095;90,00
101;02/01/2024;CLI-078;90,00
101;02/01/2024;CLI-088;99,00
102;02/01/2024;CLI-104;8,00
101;02/01/2024;CLI-104;99,00
101;02/01/2024;CLI-060;90,00
102;02/01/2024;CLI-035;15,00
101;02/01/2024;CLI-058;90,00
101;02/01/2024;CLI-117;90,00
101;02/01/2024;CLI-027;81,00
101;02/01/2024;CLI-063;90,00
101;02/01/2024;CLI-046;81,00
101;02/01/2024;CLI-101;90,00
102;02/01/2024;CLI-126;30,00
101;03/01/2024;CLI-014;90,00
102;03/01/2024;CLI-026;15,00
102;03/01/2024;CLI-086;8,00
101;03/01/2024;CLI-073;90,00
101;03/01/2024;CLI-071;90,00
102;03/01/2024;CLI-111;15,00
101;03/01/2024;CLI-074;90,00
101;03/01/2024;CLI-106;99,00
101;03/01/2024;CLI-036;81,00
101;04/01/2024;CLI-084;81,00
101;04/01/2024;CLI-042;99,00
101;04/01/2024;CLI-065;90,00
101;04/01/2024;CLI-099;99,00
101;04/01/2024;CLI-121;99,00
102;04/01/2024;CLI-092;30,00
102;04/01/2024;CLI-083;15,00
102;04/01/2024;CLI-060;30,00
101;04/01/2024;CLI-035;90,00
101;04/01/2024;CLI-020;90,00
101;05/01/2024;CLI-123;90,00
102;05/01/2024;CLI-121;30,00
101;05/01/2024;CLI-116;90,00
102;05/01/2024;CLI-019;15,00
102;05/01/2024;CLI-012;30,00
101;05/01/2024;CLI-119;90,00
101;05/01/2024;CLI-010;81,00
102;05/01/2024;CLI-093;15,00
101;05/01/2024;CLI-002;99,00
102;05/01/2024;CLI-056;5,00
101;05/01/2024;CLI-040;90,00
102;05/01/2024;CLI-050;15,00
101;06/01/2024;CLI-077;99,00
101;06/01/2024;CLI-004;90,00
